timestamp,open,high,low,close,volume,vwap,vwap_dist
2025-11-01 06:00:00+00:00,110087.7,110121.6,109977.7,110016.5,444.772,110038.59999997525,-0.020083861458849862
2025-11-01 06:15:00+00:00,110016.5,110027.2,109953.1,109979.9,264.79,110019.24471508103,-0.035761666227513755
2025-11-01 06:30:00+00:00,109980.0,110125.0,109901.0,109923.4,371.882,110006.82689883989,-0.07583792860111828
2025-11-01 06:45:00+00:00,109923.4,109965.4,109885.5,109956.2,348.188,109989.50388658688,-0.030279149746168528
2025-11-01 07:00:00+00:00,109956.2,110090.5,109945.0,109999.7,311.042,109993.47607872334,0.005658445844736784
2025-11-01 07:15:00+00:00,109999.7,110158.0,109999.7,110133.0,282.534,110007.9188716413,0.11370193131700057
2025-11-01 07:30:00+00:00,110133.1,110224.0,110026.1,110050.0,345.835,110021.36582252369,0.026026015276435655
2025-11-01 07:45:00+00:00,110049.9,110050.0,109969.8,110025.3,238.112,110020.78747498928,0.004101520371092467
2025-11-01 08:00:00+00:00,110025.3,110150.0,110025.3,110116.9,281.882,110028.26252351758,0.0805588259320813
2025-11-01 08:15:00+00:00,110117.0,110237.6,110116.9,110148.3,233.791,110038.69404519098,0.09960673902946691
2025-11-01 08:30:00+00:00,110148.3,110195.0,110121.9,110129.9,217.376,110045.8682703279,0.07636064033377915
2025-11-01 08:45:00+00:00,110129.9,110225.0,110129.9,110200.3,198.3,110053.66903641266,0.13323587016334074
2025-11-01 09:00:00+00:00,110200.3,110203.6,110127.2,110194.9,286.255,110062.76722738757,0.12005219925049242
2025-11-01 09:15:00+00:00,110194.9,110213.4,110085.6,110143.6,248.01,110067.92903301309,0.06874933293622676
2025-11-01 09:30:00+00:00,110143.6,110143.6,109925.0,109952.9,451.848,110061.86103792998,-0.09899981419761204
2025-11-01 09:45:00+00:00,109953.0,110080.7,109931.0,109954.6,549.867,110053.94059071928,-0.0902653645894587
2025-11-01 10:00:00+00:00,109954.6,110066.0,109803.0,109858.7,681.296,110036.81198684145,-0.16186581892499077
2025-11-01 10:15:00+00:00,109858.8,109990.4,109858.7,109966.3,283.45,110032.19616975824,-0.059888080082103175
2025-11-01 10:30:00+00:00,109966.2,110042.1,109935.9,110038.9,246.071,110031.15622851724,0.007037798881865068
2025-11-01 10:45:00+00:00,110038.9,110151.0,110024.6,110119.4,323.472,110034.44426889162,0.07720830661058321
2025-11-01 11:00:00+00:00,110119.5,110207.1,110119.5,110161.5,335.631,110040.7828195128,0.10970221893568623
2025-11-01 11:15:00+00:00,110161.5,110161.6,110009.3,110010.7,262.181,110043.78265080621,-0.03006317122994136
