timestamp,open,high,low,close,volume,vwap,vwap_dist
2025-11-01 06:00:00+00:00,110087.7,110125.0,109885.5,109956.2,1429.632,109988.8999999923,-0.0297302727750722
2025-11-01 07:00:00+00:00,109956.2,110224.0,109945.0,110025.3,1177.523,110023.16522202261,0.0019402986390051021
2025-11-01 08:00:00+00:00,110025.3,110237.6,110025.3,110200.3,931.349,110057.70676252517,0.12956224663350002
2025-11-01 09:00:00+00:00,110200.3,110213.4,109925.0,109954.6,1535.98,110049.62297447826,-0.08634557021634894
2025-11-01 10:00:00+00:00,109954.6,110151.0,109803.0,110119.4,1534.289,110043.7827002918,0.06871564921948828
2025-11-01 11:00:00+00:00,110119.5,110207.1,109958.6,110096.2,1171.219,110050.33390089036,0.041677382960915506
2025-11-01 12:00:00+00:00,110096.3,110164.4,109956.5,109972.0,1278.91,110047.59968988762,-0.06869726382098015
2025-11-01 13:00:00+00:00,109972.1,110015.0,109654.5,109899.6,2215.295,110010.0238376849,-0.1003761601286632
2025-11-01 14:00:00+00:00,109899.7,109945.8,109679.5,109880.0,2570.692,109977.54432050382,-0.08869476137742001
2025-11-01 15:00:00+00:00,109880.0,110300.0,109854.4,110253.2,3690.593,110010.8655227663,0.22028231128092532
2025-11-01 16:00:00+00:00,110253.1,110486.4,110144.0,110413.7,3464.412,110066.48905157755,0.3154556408715324
2025-11-01 17:00:00+00:00,110413.8,110455.5,110125.1,110160.1,1498.448,110078.50488922646,0.07412447221703791
2025-11-01 18:00:00+00:00,110160.1,110325.1,110145.5,110294.9,938.265,110085.57739603642,0.19014534775117037
2025-11-01 19:00:00+00:00,110294.9,110294.9,110171.7,110249.0,543.644,110089.04498182506,0.14529603576935718
2025-11-01 20:00:00+00:00,110249.0,110487.0,110248.9,110358.4,984.497,110099.91820079614,0.2347702009482415
2025-11-01 21:00:00+00:00,110358.4,110389.9,109803.5,109815.2,1627.418,110093.97872924013,-0.25321887033054585
2025-11-01 22:00:00+00:00,109815.2,110060.2,109815.1,110044.0,919.47,110089.93882535458,-0.04172845025143804
2025-11-01 23:00:00+00:00,110044.0,110100.0,109922.4,110047.2,627.11,110088.45146039636,-0.03747119688680923
2025-11-02 00:00:00+00:00,110047.3,110088.0,109846.7,109932.3,1196.29,110083.03646377285,-0.13692978374779086
2025-11-02 01:00:00+00:00,109932.2,110058.0,109872.1,109930.0,883.486,110079.24536338857,-0.13557992961878712
2025-11-02 02:00:00+00:00,109930.0,110234.4,109836.7,109976.4,1466.541,110080.4406621957,-0.09451330460692654
2025-11-02 03:00:00+00:00,109975.9,110048.4,109911.7,110008.5,986.973,110078.0702357552,-0.0632008133919935
2025-11-02 04:00:00+00:00,110008.4,110799.7,109974.1,110624.8,4325.195,110126.11890377724,0.45282726857784156
2025-11-02 05:00:00+00:00,110624.8,110667.0,110230.0,110452.7,2953.442,110157.72698521682,0.2677733308919469
2025-11-02 06:00:00+00:00,110453.1,110675.4,110244.8,110610.0,1690.967,110180.56995193746,0.38975115871143406
2025-11-02 07:00:00+00:00,110609.9,110988.0,110375.0,110844.1,3185.288,110231.24859970393,0.5559688455690035
2025-11-02 08:00:00+00:00,110844.0,110966.2,110650.4,110805.7,2104.551,110270.03003050874,0.4857801973419679
2025-11-02 09:00:00+00:00,110805.7,110999.9,110464.0,110657.1,3348.301,110331.03394801,0.295534302836009
2025-11-02 10:00:00+00:00,110657.2,110814.0,110302.1,110450.0,3403.7,110379.35388082346,0.06400301930813766
2025-11-02 11:00:00+00:00,110449.9,111193.5,110434.3,111145.4,3565.386,110450.91444113289,0.6287730277120025
2025-11-02 12:00:00+00:00,111145.4,111216.0,110614.8,110690.8,3724.165,110496.13049675808,0.17617766555873582
2025-11-02 13:00:00+00:00,110690.8,110726.3,110109.2,110513.0,4489.559,110499.95015102066,0.011809823408520744
2025-11-02 14:00:00+00:00,110513.0,110625.0,110138.5,110370.7,3109.147,110496.64270748872,-0.11397876388165151
2025-11-02 15:00:00+00:00,110370.7,110510.0,110030.0,110066.1,2649.9,110483.08752161905,-0.37742203895003007
2025-11-02 16:00:00+00:00,110066.2,110097.3,109661.2,110068.1,5446.663,110428.36119402698,-0.3262397359985967
2025-11-02 17:00:00+00:00,110068.2,110222.0,109970.1,110142.2,1468.286,110432.7674267843,-0.2631170381353899
2025-11-02 18:00:00+00:00,110142.1,110286.2,110121.0,110283.2,881.961,110437.50339398705,-0.13972010344762306
2025-11-02 19:00:00+00:00,110283.2,110283.2,109900.4,110125.2,1319.075,110434.02613134726,-0.2796476250715984
2025-11-02 20:00:00+00:00,110125.3,110172.5,109834.8,110045.6,1072.122,110436.44252059728,-0.35390719917873015
2025-11-02 21:00:00+00:00,110045.6,110091.2,109922.6,109947.6,643.412,110439.09904231771,-0.4450407931428128
2025-11-02 22:00:00+00:00,109947.5,109982.4,109368.9,109860.9,2701.165,110415.08008246109,-0.5019061545281862
2025-11-02 23:00:00+00:00,109860.9,110700.0,109860.9,110494.9,4493.598,110417.48830021775,0.0701081875470349
2025-11-03 00:00:00+00:00,110494.9,110711.0,109700.0,109700.1,3558.552,110389.45429753905,-0.6244747760786893
